Sturing Stand,6338,,Controle Stand,12886,,MotorstroomActief,12897,,Sectie Berijding,13578
01/Apr/19 13:48:27.226,Sturing Links,,01/Apr/19 09:32:23.279,Uit controle,,01/Apr/19 09:32:23.182,Motorstroom Actief,,01/Apr/19 09:08:43.015,Wel Berijding
01/Apr/19 13:56:12.775,Sturing Rechts,,01/Apr/19 09:32:24.630,Rechts in controle,,01/Apr/19 09:32:24.582,Geen Motorstroom,,01/Apr/19 09:09:21.616,Geen Berijding
01/Apr/19 14:00:42.082,Sturing Links,,01/Apr/19 09:35:05.429,Uit controle,,01/Apr/19 09:35:05.372,Motorstroom Actief,,01/Apr/19 09:10:20.915,Wel Berijding
01/Apr/19 14:03:22.231,Sturing Rechts,,01/Apr/19 09:35:06.779,Links in controle,,01/Apr/19 09:35:06.742,Geen Motorstroom,,01/Apr/19 09:10:45.716,Geen Berijding
01/Apr/19 14:06:28.431,Sturing Links,,01/Apr/19 09:38:08.679,Uit controle,,01/Apr/19 09:38:08.551,Motorstroom Actief,,01/Apr/19 09:14:25.776,Wel Berijding
01/Apr/19 14:13:22.891,Sturing Rechts,,01/Apr/19 09:38:09.979,Rechts in controle,,01/Apr/19 09:38:09.951,Geen Motorstroom,,01/Apr/19 09:14:41.026,Geen Berijding
01/Apr/19 14:16:51.140,Sturing Links,,01/Apr/19 09:40:06.779,Uit controle,,01/Apr/19 09:40:06.691,Motorstroom Actief,,01/Apr/19 09:18:46.727,Wel Berijding
01/Apr/19 14:21:34.440,Sturing Rechts,,01/Apr/19 09:40:08.078,Links in controle,,01/Apr/19 09:40:08.081,Geen Motorstroom,,01/Apr/19 09:19:09.376,Geen Berijding
01/Apr/19 14:23:52.589,Sturing Links,,01/Apr/19 09:42:05.939,Uit controle,,01/Apr/19 09:42:05.831,Motorstroom Actief,,01/Apr/19 09:28:59.137,Wel Berijding
01/Apr/19 14:26:47.789,Sturing Rechts,,01/Apr/19 09:42:07.239,Rechts in controle,,01/Apr/19 09:42:07.221,Geen Motorstroom,,01/Apr/19 09:29:12.586,Geen Berijding
01/Apr/19 14:33:02.249,Sturing Links,,01/Apr/19 09:45:33.139,Uit controle,,01/Apr/19 09:45:33.061,Motorstroom Actief,,01/Apr/19 09:34:20.137,Wel Berijding
01/Apr/19 14:35:25.349,Sturing Rechts,,01/Apr/19 09:45:34.489,Links in controle,,01/Apr/19 09:45:34.461,Geen Motorstroom,,01/Apr/19 09:34:58.336,Geen Berijding
01/Apr/19 14:39:27.648,Sturing Links,,01/Apr/19 09:49:13.388,Uit controle,,01/Apr/19 09:49:13.300,Motorstroom Actief,,01/Apr/19 09:36:30.136,Wel Berijding
01/Apr/19 14:44:14.959,Sturing Rechts,,01/Apr/19 09:49:14.738,Rechts in controle,,01/Apr/19 09:49:14.690,Geen Motorstroom,,01/Apr/19 09:36:44.386,Geen Berijding
01/Apr/19 14:49:19.308,Sturing Links,,01/Apr/19 09:56:02.837,Uit controle,,01/Apr/19 09:56:02.760,Motorstroom Actief,,01/Apr/19 09:38:46.137,Wel Berijding
01/Apr/19 14:57:32.858,Sturing Rechts,,01/Apr/19 09:56:04.187,Links in controle,,01/Apr/19 09:56:04.150,Geen Motorstroom,,01/Apr/19 09:39:06.136,Geen Berijding
01/Apr/19 15:00:54.067,Sturing Links,,01/Apr/19 10:01:16.196,Uit controle,,01/Apr/19 10:01:16.099,Motorstroom Actief,,01/Apr/19 09:41:27.286,Wel Berijding
01/Apr/19 15:03:17.217,Sturing Rechts,,01/Apr/19 10:01:17.546,Rechts in controle,,01/Apr/19 10:01:17.509,Geen Motorstroom,,01/Apr/19 09:41:52.197,Geen Berijding
01/Apr/19 15:05:50.416,Sturing Links,,01/Apr/19 10:03:45.346,Uit controle,,01/Apr/19 10:03:45.278,Motorstroom Actief,,01/Apr/19 09:43:30.698,Wel Berijding
01/Apr/19 15:13:43.925,Sturing Rechts,,01/Apr/19 10:03:46.696,Links in controle,,01/Apr/19 10:03:46.658,Geen Motorstroom,,01/Apr/19 09:44:00.298,Geen Berijding
01/Apr/19 15:16:42.125,Sturing Links,,01/Apr/19 10:06:19.545,Uit controle,,01/Apr/19 10:06:19.438,Motorstroom Actief,,01/Apr/19 09:46:20.698,Wel Berijding
01/Apr/19 15:22:10.474,Sturing Rechts,,01/Apr/19 10:06:20.845,Rechts in controle,,01/Apr/19 10:06:20.838,Geen Motorstroom,,01/Apr/19 09:46:39.698,Geen Berijding
01/Apr/19 15:26:39.774,Sturing Links,,01/Apr/19 10:16:26.204,Uit controle,,01/Apr/19 10:16:26.127,Motorstroom Actief,,01/Apr/19 09:50:56.898,Wel Berijding
01/Apr/19 15:28:57.934,Sturing Rechts,,01/Apr/19 10:16:27.554,Links in controle,,01/Apr/19 10:16:27.517,Geen Motorstroom,,01/Apr/19 09:51:32.048,Geen Berijding
01/Apr/19 15:32:16.184,Sturing Links,,01/Apr/19 10:19:44.454,Uit controle,,01/Apr/19 10:19:44.326,Motorstroom Actief,,01/Apr/19 09:57:47.958,Wel Berijding
01/Apr/19 15:35:19.333,Sturing Rechts,,01/Apr/19 10:19:45.754,Rechts in controle,,01/Apr/19 10:19:45.726,Geen Motorstroom,,01/Apr/19 09:58:02.707,Geen Berijding
01/Apr/19 15:37:40.533,Sturing Links,,01/Apr/19 10:32:39.312,Uit controle,,01/Apr/19 10:32:39.205,Motorstroom Actief,,01/Apr/19 10:03:15.008,Wel Berijding
01/Apr/19 15:44:09.942,Sturing Rechts,,01/Apr/19 10:32:40.612,Links in controle,,01/Apr/19 10:32:40.585,Geen Motorstroom,,01/Apr/19 10:03:38.657,Geen Berijding
01/Apr/19 15:49:14.292,Sturing Links,,01/Apr/19 10:34:57.462,Uit controle,,01/Apr/19 10:34:57.344,Motorstroom Actief,,01/Apr/19 10:05:21.157,Wel Berijding
01/Apr/19 16:02:25.151,Sturing Rechts,,01/Apr/19 10:34:58.762,Rechts in controle,,01/Apr/19 10:34:58.734,Geen Motorstroom,,01/Apr/19 10:05:49.107,Geen Berijding
01/Apr/19 16:20:50.408,Sturing Links,,01/Apr/19 10:43:53.023,Uit controle,,01/Apr/19 10:43:52.955,Motorstroom Actief,,01/Apr/19 10:07:35.409,Wel Berijding
01/Apr/19 16:24:10.608,Sturing Rechts,,01/Apr/19 10:43:54.373,Links in controle,,01/Apr/19 10:43:54.335,Geen Motorstroom,,01/Apr/19 10:08:00.457,Geen Berijding
